N,AVLFindBest,AVLFindWorst,AVLFindAverage,BSTFindBest,BSTFindWorst,BSTFindAverage,AVLInsertBest,AVLInsertWorst,AVLInsertAverage,BSTInsertBest,BSTInsertWorst,BSTInsertAverage
64,1,19,12.1875,1,21,11.53125,2,726,323.375,0,674,279.40625
65,1,19,12.2,1,21,11.553846153846154,2,740,329.7846153846154,0,686,285.66153846153844
66,1,19,12.151515151515152,1,21,11.606060606060606,2,754,336.2121212121212,0,700,291.93939393939394
67,1,19,12.194029850746269,1,21,11.656716417910447,2,770,342.6865671641791,0,714,298.23880597014926
68,1,19,12.264705882352942,1,21,11.735294117647058,2,786,349.20588235294116,0,730,304.5882352941176
69,1,19,12.304347826086957,1,21,11.72463768115942,2,800,355.7391304347826,0,740,310.8985507246377
70,1,19,12.257142857142858,1,21,11.8,2,816,362.3142857142857,0,756,317.25714285714287
71,1,19,12.295774647887324,1,21,11.816901408450704,2,832,368.92957746478874,0,768,323.6056338028169
72,1,19,12.25,1,21,11.88888888888889,2,846,375.55555555555554,0,784,330.0
73,1,19,12.26027397260274,1,23,12.04109589041096,2,862,382.2191780821918,0,806,336.52054794520546
74,1,19,12.27027027027027,1,23,12.027027027027026,2,874,388.86486486486484,0,816,343.0
75,1,19,12.28,1,23,12.093333333333334,2,890,395.5466666666667,0,832,349.52
76,1,19,12.31578947368421,1,23,12.026315789473685,2,904,402.2368421052632,0,838,355.94736842105266
77,1,19,12.246753246753247,1,23,12.090909090909092,2,920,408.961038961039,0,854,362.4155844155844
78,1,19,12.256410256410257,1,23,12.076923076923077,2,936,415.71794871794873,0,864,368.84615384615387
79,1,19,12.316455696202532,1,23,12.063291139240507,2,952,422.50632911392404,0,874,375.24050632911394
80,1,19,12.325,1,23,12.15,2,968,429.325,0,892,381.7
81,1,19,12.382716049382717,1,23,12.25925925925926,2,984,436.17283950617286,0,912,388.24691358024694
82,1,19,12.365853658536585,1,23,12.292682926829269,2,998,443.0243902439024,0,926,394.8048780487805
83,1,19,12.44578313253012,1,23,12.349397590361447,2,1014,449.90361445783134,0,942,401.3975903614458
84,1,19,12.380952380952381,1,23,12.357142857142858,2,1028,456.7857142857143,0,954,407.9761904761905
85,1,19,12.388235294117647,1,23,12.435294117647059,2,1044,463.6941176470588,0,972,414.61176470588236
86,1,19,12.348837209302326,1,23,12.534883720930232,2,1060,470.6279069767442,0,992,421.3255813953488
87,1,19,12.402298850574713,1,23,12.60919540229885,2,1078,477.60919540229884,0,1010,428.0919540229885
88,1,19,12.386363636363637,1,23,12.659090909090908,2,1092,484.59090909090907,0,1026,434.8863636363636
89,1,19,12.438202247191011,1,23,12.685393258426966,2,1108,491.59550561797755,0,1040,441.685393258427
90,1,19,12.488888888888889,1,23,12.688888888888888,2,1122,498.6,0,1052,448.46666666666664
91,1,19,12.538461538461538,1,23,12.802197802197803,2,1138,505.6263736263736,0,1074,455.34065934065933
92,1,19,12.521739130434783,1,23,12.847826086956522,2,1152,512.6521739130435,0,1090,462.2391304347826
93,1,19,12.548387096774194,1,23,12.89247311827957,2,1168,519.6989247311828,0,1106,469.16129032258067
94,1,19,12.595744680851064,1,23,12.936170212765957,2,1182,526.7446808510638,0,1122,476.1063829787234
95,1,19,12.642105263157895,1,23,13.0,2,1196,533.7894736842105,0,1140,483.09473684210525
96,1,19,12.666666666666666,1,23,13.020833333333334,2,1214,540.875,0,1154,490.0833333333333
97,1,19,12.690721649484535,1,23,13.041237113402062,2,1230,547.979381443299,0,1168,497.07216494845363
98,1,19,12.714285714285714,1,23,13.10204081632653,2,1246,555.1020408163265,0,1186,504.1020408163265
99,1,19,12.777777777777779,1,25,13.222222222222221,2,1262,562.2424242424242,0,1210,511.2323232323232
100,1,19,12.8,1,25,13.26,2,1276,569.38,0,1226,518.38
101,1,19,12.782178217821782,1,25,13.217821782178218,2,1292,576.5346534653465,0,1234,525.4653465346535
